ID,Changes,Info,,,,
AA4,23;24,Fine dining,"(Jewelry 1pt, Watches 1pt)",,,
0,,,,,,
QQ10,How often do you go to the gym?,,,,,SUB 1 SPORTS OUTDOORS
AA1,26;26;19;19;07,Multiple Times per Week,"(Exercise & Fitness, health & personal care - 2,wearable tech -1",,,
AA2,26;19,Once per week,"(Exercise & Fitness, health & personal care - 1)",,,
AA3,,Less than once per week,,,,
QQ11,What outdoor sports do you like?,,,,,
AA1,27;27;27;27,Hunting/Fishing,(Hunting & Fishing - 2),,,
AA2,29;29;29;29,Golf,(Golf - 2),,,
AA3,32;32;32;32,Camping/Hiking,(Camping/Hiking - 2),,,
AA4,33;33;33;33,Cycling,(Cycling - 2),,,
AA5,31;31;31;31,Extreme Sports,(Extreme Sports - 2),,,
AA6,34;34;34;34,Winter Sports,(Winter Sports - 2),,,
QQ12,How often do you watch sports?,,,,,
AA1,28;28;28;28,More than once per week,(Sports Apparel - 2),,,
AA2,28;28,Once per week,(Sports Apparel - 1),,,
AA3,28,Less than once per week,,,,
QQ13,What go-to device do you use for gaming?,,,,,SUB 2 ELECTRONICS
AA1,01;10;11;09;01;10;11;09;01;10;11;09;01;10;11;09,PC,"(PC Gaming/Components, Hard Drives, Storage & Memory, Software, Computer & Tablet Accessories + 1",,,
AA2,00;00;00;00,Console,(Console Accessories + 1),,,
AA3,06;09;06;09;06;09;06;09,Mobile,"(Cell Phones & Accessories + 1, computer and tablet accessories",,,
AA4,,I don't game,,,,
QQ14,Are you passionate about any of the following?,,,,,
AA1,05;05;05;05,Photography/Videography,"(camera, photo & video +1)",,,
AA2,08;04;08;04;08;04;08;04,Music Production,"(musical instruments, headphones & speakers +1)",,,
AA3,,,,,,
QQ15,Do you own any smart home devices?,,,,,
AA1,03;03,Yes!,(Smart Home +2),,,
AA2,03;03,"No, but I'm looking to",(Smart Home +2) ,,,
AA3,,"No, and I'm not looking to",,,,
QQ16,What gender do you identify as?,,,,,SUB 3 CLOTHINGHEALTH PERSONALCARE
AA1,20;21;24;25,Male,"Clothing, Shoes, Watches, Sunglasses",,,
AA2,18;18;19;19;18;18;19;19;23;23;20;21,Female,"(Beauty, Health & personal care, jewelry +2,Clothing,Shoes)",,,
AA3,,Other,,,,
QQ17,How's the weather where you live throughout the year?,,,,,
AA1,22;22;34;34,Cold,"(hats, scarves, Socks + 2,winter sports 2, ",,,
AA2,27;25;32,Warm,"(Hunting & Fishing, Sunglasses, camping and hiking + 1)",,,
AA3,27;25;32;27;25;32,Hot,"(Hunting & Fishing, Sunglasses, camping and hiking + 2)",,,
QQ18,What would you say completes your outfit?,,,,,
AA1,21;21;21,Shoes,(Shoes +2),,,
AA2,23;23;23,Jewelry,(Jewelry +2),,,
AA3,24;24;24,Watch,(Watch +2),,,
AA4,22;22;25;25;22;25,Headwear (Hat/Scarf/Glasses),"(Hat, Scarves, Socks, Sunglasses +2)",,,
AA5,,No accessories,,,,
QQ19,Are you passionate about any of the following?,,,,,SUB 4 HOUSEHOLD
AA1,15;15;15;15,Gardening,(Patio & Garden +2),,,
AA2,12;12;16;16;12;12;16;16;12;12;16;16,Home Styling,"(Home Decor, Tools & Home Improvement +2)",,,
AA3,13;13;13;13,Arts & Crafts,"(Arts, Crafts & Sewing +2)",,,
AA4,14;14,Cooking/Baking,(Kitchen Appliances +2),,,
QQ20,You're subletting an apartment for 4 months. Itês not what you expected it to be and ends up being underwhelming. What do you do?,,,,,
AA1,,"Suck it up, you're only there for 4 months",,,,
AA2,16,Clean it up and make yourself a bit more comfortable,(Tools & Home Improvement +1),,,
AA3,13;12;16;16,Make it beautiful,"(Arts, Crafts & Sewing, Home Decor, +1)",,,
0,,,,,,
